wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860859.729384,117,0.000,21.601,46.293,0.000,0,7.421
1781860859.751279,118,106.090,21.895,45.673,124.930,1,7.745
1781860859.773073,119,0.000,21.795,45.883,0.000,0,7.680
1781860859.794668,120,0.000,21.595,46.308,0.000,0,7.617
1781860859.816265,121,0.000,21.597,46.303,0.000,0,7.555
1781860859.837825,122,0.000,21.560,46.382,0.000,0,7.494
1781860859.859255,123,0.000,21.430,46.665,0.000,0,7.434
1781860859.881066,124,106.939,21.812,45.847,129.183,1,7.743
1781860859.902674,125,0.000,21.608,46.279,0.000,0,7.682
1781860859.924263,126,0.000,21.589,46.320,0.000,0,7.622
1781860859.945763,127,0.000,21.500,46.512,0.000,0,7.563
1781860859.967458,128,0.000,21.696,46.092,0.000,0,7.504
1781860859.988956,129,0.000,21.497,46.517,0.000,0,7.447
1781860860.010911,130,106.088,21.955,45.549,132.659,1,7.741
1781860860.032561,131,0.000,21.651,46.188,0.000,0,7.683
1781860860.054173,132,0.000,21.611,46.272,0.000,0,7.625
1781860860.075710,133,0.000,21.537,46.431,0.000,0,7.569
1781860860.097446,134,0.000,21.736,46.007,0.000,0,7.513
1781860860.119031,135,0.000,21.585,46.328,0.000,0,7.458
1781860860.140823,136,111.723,21.792,45.888,136.622,1,7.740
1781860860.162427,137,0.000,21.604,46.288,0.000,0,7.684
1781860860.184019,138,0.000,21.591,46.315,0.000,0,7.629
1781860860.205555,139,0.000,21.537,46.432,0.000,0,7.575
1781860860.227202,140,0.000,21.647,46.196,0.000,0,7.521
1781860860.248895,141,106.256,21.693,46.098,114.393,1,7.793
1781860860.270669,142,0.000,21.774,45.927,0.000,0,7.738
1781860860.292435,143,0.000,21.765,45.944,0.000,0,7.684
1781860860.314054,144,0.000,21.619,46.255,0.000,0,7.631
1781860860.335683,145,0.000,21.629,46.234,0.000,0,7.579
1781860860.357456,146,0.000,21.773,45.929,0.000,0,7.527
1781860860.379184,147,106.071,21.729,46.022,119.267,1,7.788
1781860860.400826,148,0.000,21.642,46.207,0.000,0,7.736
1781860860.422393,149,0.000,21.567,46.367,0.000,0,7.684
1781860860.443901,150,0.000,21.508,46.494,0.000,0,7.634
1781860860.465602,151,0.000,21.701,46.081,0.000,0,7.584
1781860860.487423,152,0.000,21.821,45.828,0.000,0,7.534
1781860860.509219,153,106.715,21.796,45.881,123.883,1,7.784
1781860860.531447,154,0.000,22.228,44.988,0.000,0,7.733
1781860860.553068,155,0.000,21.621,46.252,0.000,0,7.683
1781860860.574638,156,0.000,21.570,46.360,0.000,0,7.635
1781860860.596433,157,0.000,21.795,45.883,0.000,0,7.586
1781860860.617939,158,0.000,21.506,46.498,0.000,0,7.539
1781860860.640190,159,107.098,22.251,44.942,127.479,1,7.778
1781860860.662464,160,0.000,22.274,44.896,0.000,0,7.729
1781860860.684249,161,0.000,21.785,45.903,0.000,0,7.681
1781860860.706050,162,0.000,21.801,45.868,0.000,0,7.634
1781860860.727834,163,0.000,21.784,45.906,0.000,0,7.587
1781860860.749407,164,0.000,21.572,46.356,0.000,0,7.541
1781860860.771210,165,107.025,21.804,45.864,131.204,1,7.773
1781860860.792824,166,0.000,21.614,46.266,0.000,0,7.727
1781860860.814595,167,0.000,21.771,45.933,0.000,0,7.681
1781860860.836264,168,0.000,21.669,46.149,0.000,0,7.635
1781860860.858023,169,0.000,21.759,45.957,0.000,0,7.590
1781860860.879693,170,106.351,21.670,46.147,112.781,1,7.815
1781860860.901466,171,0.000,21.773,45.929,0.000,0,7.770
1781860860.923075,172,0.000,21.610,46.276,0.000,0,7.725
1781860860.944661,173,0.000,21.585,46.327,0.000,0,7.681
1781860860.966208,174,0.000,21.547,46.410,0.000,0,7.637
1781860860.987842,175,0.000,21.634,46.223,0.000,0,7.594
1781860861.009679,176,100.288,21.837,45.795,116.806,1,7.811
1781860861.031440,177,0.000,21.761,45.954,0.000,0,7.767
1781860861.053076,178,0.000,21.636,46.219,0.000,0,7.724
1781860861.074574,179,0.000,21.499,46.514,0.000,0,7.681
1781860861.096237,180,0.000,21.663,46.162,0.000,0,7.639
1781860861.117724,181,0.000,21.487,46.539,0.000,0,7.598
1781860861.139580,182,107.082,21.856,45.755,0.000,0,7.808
1781860861.161327,183,0.000,21.747,45.983,0.000,0,7.765
1781860861.182950,184,0.000,21.622,46.248,0.000,0,7.723
1781860861.204419,185,0.000,21.469,46.578,0.000,0,7.682
1781860861.226062,186,0.000,21.643,46.204,0.000,0,7.641
1781860861.247672,187,104.868,21.610,46.274,0.000,0,7.846
1781860861.269331,188,0.000,21.658,46.171,0.000,0,7.804
1781860861.290834,189,0.000,21.503,46.505,0.000,0,7.764
1781860861.312455,190,0.000,21.621,46.250,0.000,0,7.723
1781860861.334092,191,0.000,21.636,46.218,0.000,0,7.683
1781860861.355817,192,0.000,21.725,46.030,0.000,0,7.643
1781860861.377691,193,100.127,21.874,45.716,116.038,1,7.841
1781860861.399348,194,0.000,21.657,46.175,0.000,0,7.801
1781860861.420959,195,0.000,21.611,46.273,0.000,0,7.761
1781860861.442450,196,0.000,21.491,46.530,0.000,0,7.722
1781860861.464205,197,0.000,21.755,45.966,0.000,0,7.683
1781860861.485674,198,0.000,21.469,46.579,0.000,0,7.645
1781860861.507563,199,106.062,21.888,45.686,126.875,1,7.837
1781860861.529220,200,0.000,21.657,46.174,0.000,0,7.798
1781860861.550778,201,0.000,21.559,46.385,0.000,0,7.760
1781860861.572335,202,0.000,21.557,46.389,0.000,0,7.722
1781860861.594007,203,0.000,21.672,46.142,0.000,0,7.684
1781860861.615716,204,0.000,21.709,46.064,0.000,0,7.646
1781860861.637746,205,106.570,22.030,45.393,132.133,1,7.832
1781860861.659515,206,0.000,21.769,45.936,0.000,0,7.794
1781860861.681086,207,0.000,21.571,46.358,0.000,0,7.757
1781860861.702570,208,0.000,21.484,46.546,0.000,0,7.720
1781860861.724359,209,0.000,21.789,45.896,0.000,0,7.683
1781860861.746087,210,106.439,21.729,46.022,115.231,1,7.865
1781860861.767890,211,0.000,21.803,45.865,0.000,0,7.828
1781860861.789596,212,0.000,21.705,46.072,0.000,0,7.791
1781860861.811213,213,0.000,21.617,46.260,0.000,0,7.755
1781860861.832848,214,0.000,21.636,46.220,0.000,0,7.719
1781860861.854492,215,0.000,21.644,46.203,0.000,0,7.683
1781860861.876346,216,104.177,21.854,45.757,119.605,1,7.860
1781860861.898200,217,0.000,21.854,45.759,0.000,0,7.824
1781860861.919838,218,0.000,21.638,46.215,0.000,0,7.788
1781860861.941465,219,0.000,21.627,46.238,0.000,0,7.753
1781860861.963131,220,0.000,21.666,46.156,0.000,0,7.718
1781860861.984627,221,0.000,21.497,46.519,0.000,0,7.683
1781860862.006270,222,107.146,21.643,46.205,125.939,1,7.856
1781860862.027975,223,0.000,21.705,46.073,0.000,0,7.821
1781860862.049604,224,0.000,21.629,46.235,0.000,0,7.786
1781860862.071185,225,0.000,21.581,46.337,0.000,0,7.752
1781860862.092736,226,0.000,21.551,46.401,0.000,0,7.718
1781860862.114314,227,0.000,21.578,46.343,0.000,0,7.684
1781860862.136336,228,105.381,22.022,45.410,129.790,1,7.851
1781860862.158024,229,0.000,21.688,46.107,0.000,0,7.817
1781860862.179719,230,0.000,21.695,46.093,0.000,0,7.783
1781860862.201317,231,0.000,21.597,46.302,0.000,0,7.750
1781860862.222967,232,0.000,21.650,46.190,0.000,0,7.717
1781860862.244597,233,0.000,21.631,46.230,0.000,0,7.684
1781860862.266590,234,112.088,21.992,45.470,135.914,1,7.847
1781860862.288230,235,0.000,21.640,46.210,0.000,0,7.814
1781860862.309872,236,0.000,21.641,46.208,0.000,0,7.781
1781860862.331477,237,0.000,21.605,46.285,0.000,0,7.748
1781860862.353234,238,0.000,21.757,45.963,0.000,0,7.716
1781860862.374948,239,106.422,21.714,46.053,113.582,1,7.876
1781860862.396734,240,0.000,21.786,45.900,0.000,0,7.843
1781860862.418350,241,0.000,21.616,46.263,0.000,0,7.811
1781860862.439984,242,0.000,21.634,46.223,0.000,0,7.779
1781860862.461612,243,0.000,21.628,46.236,0.000,0,7.747
1781860862.483540,244,0.000,21.928,45.604,0.000,0,7.715
1781860862.505238,245,105.203,21.698,46.088,118.331,1,7.871
1781860862.527016,246,0.000,21.778,45.917,0.000,0,7.839
1781860862.548737,247,0.000,21.721,46.039,0.000,0,7.807
1781860862.570271,248,0.000,21.534,46.438,0.000,0,7.776
1781860862.591876,249,0.000,21.604,46.287,0.000,0,7.745
1781860862.613651,250,0.000,21.775,45.924,0.000,0,7.714
1781860862.635509,251,105.804,21.858,45.749,0.000,0,7.866
1781860862.657278,252,0.000,21.768,45.938,0.000,0,7.835
1781860862.678859,253,0.000,21.581,46.337,0.000,0,7.804
1781860862.700453,254,0.000,21.594,46.309,0.000,0,7.774
1781860862.722079,255,0.000,21.626,46.241,0.000,0,7.744
1781860862.743611,256,0.000,21.532,46.442,0.000,0,7.714
1781860862.765470,257,107.777,21.859,45.748,129.975,1,7.862
1781860862.787122,258,0.000,21.652,46.185,0.000,0,7.832
